j,x,F(x),S(x),diff_F,F'(x),S'(x),diff_F',F''(x),S''(x),diff_F''
86,0.43,0.657383,0.657461,-7.72094e-05,9.41767,9.41652,0.00114921,40.5514,40.0804,0.471029
87,0.435,0.704959,0.705025,-6.59234e-05,9.60888,9.60561,0.00327573,35.9188,35.555,0.363836
88,0.44,0.753433,0.753479,-4.5726e-05,9.77671,9.77207,0.00463987,31.1976,31.0296,0.16803
89,0.445,0.802687,0.802708,-2.1488e-05,9.92073,9.9159,0.00482798,26.3996,26.5042,-0.104597
90,0.45,0.8526,0.8526,0,10.0406,10.0371,0.00348583,21.5368,21.9788,-0.44206
91,0.455,0.903052,0.903039,1.25207e-05,10.136,10.1344,0.00163595,16.6212,16.9269,-0.305658
92,0.46,0.953919,0.953902,1.73158e-05,10.2067,10.2064,0.000361898,11.6653,11.8749,-0.209667
93,0.465,1.00508,1.00506,1.68107e-05,10.2526,10.2531,-0.000507454,6.68126,6.82297,-0.14171
94,0.47,1.0564,1.05639,1.27305e-05,10.2735,10.2746,-0.00108118,1.68168,1.77102,-0.0893368
95,0.475,1.10777,1.10777,6.41034e-06,10.2694,10.2708,-0.00140598,-3.32099,-3.28093,-0.0400594
96,0.48,1.15906,1.15906,-8.91688e-07,10.2403,10.2418,-0.0014661,-8.31426,-8.33288,0.0186178
97,0.485,1.21013,1.21014,-7.6827e-06,10.1863,10.1875,-0.00118335,-13.2857,-13.3848,0.0991671
98,0.49,1.26088,1.26089,-1.19231e-05,10.1075,10.108,-0.000417278,-18.2228,-18.4368,0.214006
99,0.495,1.31117,1.31118,-1.07162e-05,10.0042,10.0031,0.00103442,-23.1133,-23.4887,0.375467
100,0.5,1.36088,1.36088,0,9.8765,9.87307,0.00343546,-27.9449,-28.5407,0.595764
101,0.505,1.40989,1.40987,2.28034e-05,9.72484,9.7195,0.00533746,-32.7057,-32.8835,0.17785
102,0.51,1.45809,1.45804,5.02255e-05,9.54958,9.54423,0.00535197,-37.3836,-37.2263,-0.157267
